-1.9473714274649282e+01 9.9997336479024246e-01 8.8951156726004444e-05
-1.8276921773261293e+01 9.9996799720840612e-01 1.0186865991392298e-04
-1.7210112883346092e+01 9.9996173326770976e-01 1.1605345801442483e-04
-1.6252754006499185e+01 9.9995435907296959e-01 1.3169062443566749e-04
-1.5388417685876263e+01 9.9994557543312135e-01 1.4903560576900689e-04
-1.4603804946494083e+01 9.9993497165126810e-01 1.6843539384652390e-04
-1.3888034269574872e+01 9.9992199750426636e-01 1.9035119548585313e-04
-1.3232116051433158e+01 9.9990593485049017e-01 2.1538144831465596e-04
-1.2628558447236520e+01 9.9988587027049514e-01 2.4428405027112347e-04
-1.2071067811865476e+01 9.9986066996076928e-01 2.7799681450296505e-04
-1.1554318269412054e+01 9.9982895781914860e-01 3.1765538471016836e-04
-1.1073772489066805e+01 9.9978909734225907e-01 3.6460810239943392e-04
-1.0625540865786014e+01 9.9973917764223319e-01 4.2042757062945283e-04
-1.0206269835608513e+01 9.9967700361680234e-01 4.8691888259633340e-04
-9.8130525275257519e+00 9.9960009008554673e-01 5.6612466439166982e-04
-9.4433567081553349e+00 9.9950565954522863e-01 6.6032721380088753e-04
-9.0949662364053303e+00 9.9939064309281356e-01 7.7204810395111161e-04
-8.7659331623611809e+00 9.9925168401008402e-01 9.0404566725374197e-04
-8.4545382789250532e+00 9.9908514348945188e-01 1.0593107884898762e-03
-8.1592584356439435e+00 9.9888710799599167e-01 1.2410614249462161e-03
-7.8787392998432555e+00 9.9865339779720430e-01 1.4527362429106972e-03
-7.6117725344806555e+00 9.9837957624228690e-01 1.6979877202130671e-03
-7.3572765790998451e+00 9.9806095942968087e-01 1.9806750187725906e-03
-7.1142803871593525e+00 9.9769262596105357e-01 2.3048568834687123e-03
-6.8819096023558668e+00 9.9726942653898654e-01 2.6747847766375368e-03
-6.6593747575129871e+00 9.9678599322013806e-01 3.0948964134259612e-03
-6.4459611589253338e+00 9.9623674818734509e-01 3.5698098225122325e-03
-6.2410201817652480e+00 9.9561591194909926e-01 4.1043180204140004e-03
-6.0439617520480473e+00 9.9491751091509595e-01 4.7033843565058818e-03
-5.8542478305626968e+00 9.9413538433170623e-01 5.3721385584324915e-03
-5.6713867462770287e+00 9.9326319059142054e-01 6.1158734842530057e-03
-5.4949282526815075e+00 9.9229441295581411e-01 6.9400425688948397e-03
-5.3244592016239594e+00 9.9122236475463699e-01 7.8502579360781796e-03
-5.1595997464024776e+00 9.9004019414286504e-01 8.8522891332407094e-03
-4.9999999999999991e+00 9.8874088851471731e-01 9.9520624360401235e-03
-4.8453370859689660e+00 9.8731727868938890e-01 1.1155660659747317e-02
-4.6953125290874613e+00 9.8576204299873083e-01 1.2469323405885626e-02
-4.5496499408886866e+00 9.8406771142007743e-01 1.3899447665872190e-02
-4.4080929618159450e+00 9.8222666991397523e-01 1.5452588696418973e-02
-4.2704034273173317e+00 9.8023116514080266e-01 1.7135461074771881e-02
-4.1363597298623764e+00 9.7807330974829332e-01 1.8954939834890557e-02
-4.0057553527937557e+00 9.7574508844058294e-01 2.0918061578687870e-02
-3.8783975552480654e+00 9.7323836506195860e-01 2.3032025448418075e-02
